$ ./smram_parse.py SMRAM.bin flash_image.bin

[+] Copying "flash_image.bin" to "fw_image_1524198678"...
[+] Unpacking "fw_image_1524198678"...

parseMeRegion: ME region is empty
parseSections: non-UEFI data found in sections area
parsePadFileBody: non-UEFI data found in pad-file
findFitRecursive: real FIT table found at physical address FFA80100h
-------------------------------------------------------------------
     Address     |   Size    |  Ver  | CS  |         Type
-------------------------------------------------------------------
_FIT_            | 00000030h | 0100h | 00h | FIT Header
00000000FFA80280 | 00000000h | 0100h | 00h | Microcode
00000000FFA97A80 | 00000000h | 0100h | 00h | Microcode

[+] SMRAM is at 0x8b400000:8bbfffff
[+] EFI_SMM_SYSTEM_TABLE2 is at 0x8b7fa730

SMI ENTRIES:

CPU 0: 0x8b7d5000
CPU 1: 0x8b7d5800
CPU 2: 0x8b7d6000
CPU 3: 0x8b7d6800

LOADED SMM DRIVERS:

0x8b6b9000: size = 0x00005f20, ep = 0x8b6b9b70, name = PchInitSmm
0x8b6c0000: size = 0x00002600, ep = 0x8b6c05c0, name = PowerMgmtSmm
0x8b6c3000: size = 0x00015440, ep = 0x8b6c3300, name = BiosGuardServices
0x8b6d9000: size = 0x00001260, ep = 0x8b6d9840, name = NvramSmi
0x8b6db000: size = 0x00002420, ep = 0x8b6db850, name = RtcWakeup
0x8b6df000: size = 0x00002960, ep = 0x8b6df840, name = OemSmi
0x8b6e2000: size = 0x00006d60, ep = 0x8b6e3850, name = ItkSmmVars
0x8b6e9000: size = 0x00001880, ep = 0x8b6e9b80, name = CrbSmi
0x8b6eb000: size = 0x00018980, ep = 0x8b6ebf80, name = UsbRt
0x8b704000: size = 0x00001880, ep = 0x8b704340, name = TcgSmm
0x8b706000: size = 0x00002300, ep = 0x8b706870, name = SdioSmm
0x8b71c000: size = 0x00002500, ep = 0x8b71c330, name = NvmeSmm
0x8b71f000: size = 0x00004860, ep = 0x8b71fa10, name = KbcEmul
0x8b724000: size = 0x00002640, ep = 0x8b7248c0, name = SmmHddSecurity
0x8b728000: size = 0x00003700, ep = 0x8b728d10, name = CmosSmm
0x8b72c000: size = 0x00001380, ep = 0x8b72c850, name = BootScriptHideSmm
0x8b72e000: size = 0x00006f80, ep = 0x8b72e430, name = SaLateInitSmm
0x8b735000: size = 0x00001840, ep = 0x8b735b50, name = PttWrapper
0x8b737000: size = 0x00004b00, ep = 0x8b737bd0, name = SmmPlatform
0x8b73c000: size = 0x000009c0, ep = 0x8b73c2a0, name = SmramSaveInfoHandlerSmm
0x8b73e000: size = 0x00001dc0, ep = 0x8b73eba0, name = AcpiModeEnable
0x8b740000: size = 0x00001100, ep = 0x8b740800, name = TcoSmi
0x8b742000: size = 0x00004800, ep = 0x8b742bb0, name = SleepSmi
0x8b747000: size = 0x000049a0, ep = 0x8b747bb0, name = PowerButton
